game_id,total_elapsed_s,score_diff,wp_caller
2024020722,3527,-1,0.07568944378977627
2024020958,3492,-2,0.008060768262508417
2024021113,1478,-2,0.1911612441438299
2024021262,3504,-2,0.007001080153716748
2024021277,2343,-1,0.2788862401089309
2024020562,3256,1,0.8906974000556948
2024020587,3209,1,0.88813328609056
2024021147,3579,-1,0.055302595095439736
2024021163,3542,-1,0.07051829593779521
2024021257,3770,0,0.5342430884534922
2024020265,3419,-3,0.001317073528326193
2024020416,3404,-2,0.01309896848514832
2024020532,288,-2,0.22965468173799058
2024020607,2118,-1,0.31123919525277793
2024020680,3580,-1,0.05479674283549977
2024020699,3487,-1,0.08818793909848585
2024020829,3520,-1,0.07799382205975192
2024021296,3519,-1,0.07831820343291036
2024020300,3532,-1,0.07400411860069116
2024020492,3097,1,0.8605231496089883
2024020620,1970,2,0.8819575852431268
2024021091,3534,-2,0.005363612805245572
2024021246,3545,-2,0.004778440240480743
2024020323,3556,-1,0.06530819497191995
2024020814,3271,0,0.5286757325577438
2024020338,3758,0,0.5342430884534922
2024020644,3552,-1,0.06996784206481467
2024020854,3854,0,0.5220248987850972
2024020221,3517,-1,0.07896357315698287
2024020686,3528,-2,0.005685621691500383
2024020778,2195,0,0.5599268174891506
2024021200,3688,0,0.5342430884534922
2024020387,1739,-3,0.08082556072941859
2024020821,1647,3,0.9405212614128735
2024020869,3412,-2,0.013195133235183345
2024021221,2516,-4,0.010863634848301804
2024020145,3438,0,0.5144677722369096
2024020184,3574,-1,0.05510330035581166
2024020506,3553,-1,0.06348557838781654
2024021290,3792,0,0.5220248987850972
2024020743,3563,-1,0.06250737031325614
2024020841,3504,-1,0.0793991417057621
2024020939,2278,-2,0.12189830062686349
2024020259,3221,2,0.980483001254293
2024020351,3566,-1,0.06125440487012338
2024020143,3537,-1,0.06906220875361846
2024020419,3528,-1,0.0753551441511897
2024021024,2063,0,0.5605342680208995
2024020270,3522,-1,0.07391446193114468
2024020386,1528,-6,0.0090016712169313
2024021229,3553,-1,0.06646383807277043
